id,name,symbol
1,Bitcoin,BTC
2,Ethereum,ETH
3,XRP,XRP
4,Litecoin,LTC
5,Bitcoin Cash,BCH
6,Binance Coin,BNB
7,Tether,USDT
8,EOS,EOS
9,Bitcoin SV,BSV
10,Stellar,XLM
11,Cardano,ADA
12,TRON,TRX
13,Monero,XMR
14,UNUS SED LEO,LEO
15,Dash,DASH
16,NEO,NEO
17,IOTA,MIOTA
18,Chainlink,LINK
19,Cosmos,ATOM
20,Tezos,XTZ
21,Ethereum Classic,ETC
22,NEM,XEM
23,Maker,MKR
24,Ontology,ONT
25,Crypto.com Chain,CRO
26,Zcash,ZEC
27,V Systems,VSYS
28,USD Coin,USDC
29,Dogecoin,DOGE
30,Bitcoin Gold,BTG
31,Basic Attention Token,BAT
32,VeChain Thor,VET
33,Egretia,EGT
34,Qtum,QTUM
35,Decred,DCR
36,Huobi Token,HT
37,HedgeTrade,HEDG
38,OMG Network,OMG
39,TrueUSD,TUSD
40,Paxos Standard,PAX
41,Ravencoin,RVN
42,Nano,NANO
43,Lisk,LSK
44,BitTorrent,BTT
45,Bitcoin Diamond,BCD
46,Holo,HOT
47,KuCoin Shares,KCS
48,Waves,WAVES
49,0x,ZRX
50,Pundi X,NPXS
51,Augur,REP
52,ICON,ICX
53,DigiByte,DGB
54,MonaCoin,MONA
55,Komodo,KMD
56,HyperCash,HC
57,BitShares,BTS
58,Aurora,AOA
59,IOStoken,IOST
60,Bytecoin,BCN
61,Bytom,BTM
62,Lambda,LAMB
63,Siacoin,SC
64,Theta Token,THETA
65,EDUCare,EKT
66,Insight Chain,INB
67,Nash Exchange,NEX
68,Mixin,XIN
69,Energi,NRG
70,Quant,QNT
71,Zilliqa,ZIL
72,Verge,XVG
73,GXChain,GXC
74,Aeternity,AE
75,Walton,WTC
76,REN,REN
77,Steem,STEEM
78,Dai,DAI
79,ABBC Coin,ABBC
80,NEXT,NET
81,Zcoin,XZC
82,Status,SNT
83,Crypto.com,MCO
84,Ardor,ARDR
85,Enjin Coin,ENJ
86,Golem,GNT
87,VestChain,VEST
88,MaidSafeCoin,MAID
89,aelf,ELF
90,Nexo,NEXO
91,SOLVE,SOLVE
92,U Network,UUU
93,Maximine,MXM
94,Clipper Coin Capital,CCCX
95,Japan Content Token,JCT
97,Metaverse ETP,ETP
98,XMAX,XMX
99,RIF Token,RIF
100,Stratis,STRAX
101,Project Pai,PAI
103,Horizen,ZEN
104,Fusion,FSN
105,Grin,GRIN
106,Function X,FX
107,Electroneum,ETN
108,Populous,PPT
109,Nebulas,NAS
110,Santiment Network Token,SAN
111,Dent,DENT
112,Elastos,ELA
113,Ecoreal Estate,ECOREAL
114,Decentraland,MANA
115,QASH,QASH
116,Loopring,LRC
117,Fantom,FTM
118,1irstcoin,FST
119,Ark,ARK
120,ODEM,ODE
121,Aion,AION
122,Factom,FCT
123,Orbs,ORBS
124,ReddCoin,RDD
125,Nuls,NULS
126,DigixDAO,DGD
127,Veritaseum,VERI
128,LAToken,LA
129,TomoChain,TOMO
130,EURS,EURS
131,Kyber Network,KNC
132,Enigma,ENG
133,Ignis,IGNIS
135,WaykiChain,WICC
136,Buggyra Coin Zero,BCZERO
137,Loom Network,LOOM
138,TrueChain,TRUE
139,CyberMiles,CMT
